Name,Classification,Lat,Lng,Address,Contact ,Opening Day,Closing Day,Notes
Aaron Provincial Park,Recreational,49.7604031,-92.6561456,"Kenora, Unorganized, ON",807 938 6534,May 18 2018,September 16 2018,Please note that the mailing address for this site is as follows Box 730 479 Government Street Dryden ON P8N 2Z4
Algonquin Provincial Park,Natural Environment,45.8990756,-78.4620256,Ontario 60 Ontario K0J 2M0,705 633 5572,April 27 2018,October 8 2018,"Please note that this park has various campgrounds and the opening/closing dates provided are a general idea for most of the grounds summer season, for more information please contact the site.  "
Arrowhead Provincial Park,Natural Environment,45.3915265,-79.2166657,451 Arrowhead Park Rd Huntsville ON P1H 2J4,705 789 5105,May 11 2018,October 9 2018,This site also has winter camping but the dates for the 2018 season have no been released yet.  It is cabin only camping. 
Awenda Provincial Park,Natural Environment,44.8397495,-80.011618,"670 Awenda Park Rd, Tiny, ON L9M 2J2",705 549 2231,May 11 2018,October 9 2018,Please note that this campground is open all year round for day use and that the dates posted here are for the summer camping season.  Also to note that the mailing address for this site is as follows PO Box 5004 670 Concession 18 East Pentanguishene ON L9M 2G2 
Balsam Lake Provincial Park,Recreational,44.6344169,-78.9305092,2238 Hwy 48 RR 1 Kirkfield ON K0M 2B0,705 454 3324,May 11 2018,October 9 2018,
Bass Lake Provincial Park,Recreational,44.6024015,-79.4876193,2540 Bass Lake Sideroad East Oro-Medonte Township ON  L3V 6H2,705 326 7054,May 11 2018,September 23 2018,
Batchawana Bay Provincial Park,Recreational,46.9552326,-84.6881556,12729 Hwy 17N PO Box 61 Batchawana Bay ON  P0S 1A0,705 882 2209,May 11 2018,October 8 2018,
Biscotasi Lake Provincial Park,Natural Environment,45.0222858,-78.5358351,"6632-6800 Gelert Rd, Dysart and Others, ON K0M",705 865 2021,May 4 2018,October 8 2018,Please note that the mailing address for this site is as follows c/o Chutes Provincial Park PO Box 37 660 Imperial Street North Massey ON  P0P 1P0
Blue LakeProvincial Park,Natural Environment,49.9616659,-93.6541056,Box 730 479 Government Street Dryden ON  P8N 2Z4,807 227 2601,May 18 2018,September 16 2018,Please note that this campground has a winter number it is 807 223 7535
Bon Echo Provincial Park,Natural Environment,44.9013898,-77.2246861,16151 Hwy 41 Cloyne ON  K0H 1K0,613 336 2228,May 11 2018,October 21 2018,
BonnechereProvincial  Park,Recreational,45.645979,-77.5847822,4024 Round Lake Rd  Killaloe ON K0J 2A0,613 757 2103,May 18 2018,October 9 2018,
Bronte Creek Provincial Park,Recreational,43.4111841,-79.7886537,1219 Burloak Drive Oakville ON  L6M 4J7,905 827 3228,April 6 2018,October 28 2018,"Please note that the park is open all year round for day use, the dates listed are for summer camping season. The winter phone number is 905 827 6911"
Caliper Lake Provincial Park,Recreational,49.0599423,-93.9181126,"Ontario 71, Nestor Falls, ON P0X 1K0",807 484 2181,May 18 2018 ,September 9 2018,"Please note that there is a winter phone number to reach the park at between October and April, it is 807 468 2669. Also to note the mailing address for this site is as follows PO Box 188 Nestor Falls ON  P0X 1K0"
Charleston Lake Provincial Park,Natural Environment,44.5027816,-76.0427496,"148 Woodvale Road, Lansdowne, ON K0E 1L0",613 659 2065,May 11 2018,October 9 2018,
Chutes Provincial Park ,Recreational,46.2246687,-82.0751129,"650 Imperial St N, Massey, ON P0P 1P0",705 865 2021,May 18 2018,October 9 2018,Please note that the mailing address for this site is as follows PO Box 37 660 Imperial Street North Massey P0P 1P0.
Craigleith ProvincialPark,Recreational,44.5364232,-80.3514146,209403 Highway 26 Blue Mountains ON  L9Y 0T6,705 445 4467,April 13 2018,October 28 2018,
Darlington Provincial Park,Recreational,43.8725577,-78.7809829,1600 Darlington Park Road Bowmanville ON  L1C 3K3,905 436 2036,May 4 2018,October 9 2018,Please note the dates posted are for summer season camping.  Winter day access is available all year although the winter 2018 dates have not been posted yet. Please contact the site for more info. 
Driftwood Provincial Park,Recreational,46.192694,-77.8445248,39520 Highway 17 Stonecliffe ON  K0J 2K0,613 586 2553,May 18 2018,September 16 2018,
Earl Rowe Provincial Park,Recreational,44.1498321,-79.9057997,4998 Concession 7 Tosorontio Township Alliston ON  L9R 1W1,705 435 2498,May 11 2018,October 9 2018,
Emily Provincial Park,Recreational,44.3402559,-78.5371451,797 Emily Park Road RR 4 Omemee ON  K0L 2W0,705 799 5170,May 11 2018,October 9 2018,
Esker Lakes Provincial Park,Natural Environment,48.3234833,-79.8809262,"Highway 672, Kirkland Lake, ON P2N 3K4",705 568 7677,May 18 2018,September 3 2018,Please note that this site has a different phone number for winter inquiries.  It is 705 272 7101. 
Fairbank Provincial Park,Recreational,46.4721825,-81.441763,"696 Park Rd, Worthington, ON P0M 3H0",705 866 0530,May 18 2018,September 3 2018,"Please note that the mailing address for this site is as follows P.O. Box 560, c/o Windy Lake Provincial Park
Levack, ON
P0M 2C0"
Ferris Provincial Park,Recreational,44.2913521,-77.7960316,"474 County Rd. 8, Campbellford, ON K0L 1L0",705 653 3575,May 11 2018,October 9 2018,
